"file","sheet","rows","cols","has_headers"
"Qualark_2023_Test_Fishing_and_Sampling_American_Shad_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_American_Shad_skip3",2,8,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Chinook_Sampling_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Chinook_Sampling_raw",499,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Chinook_Sampling_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Chinook_Sampling_skip3",496,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Chum_Sampling_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Chum_Sampling_raw",5,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Chum_Sampling_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Chum_Sampling_skip3",2,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Coho_Sampling_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Coho_Sampling_raw",5,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Coho_Sampling_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Coho_Sampling_skip3",2,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_raw",98,16,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_skip3",95,16,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_with_headers.csv","Qualark_2023_Test_Fishing_and_Sampling_Count_Verification_with_headers",96,16,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_raw",99,41,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_skip3",96,41,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_with_headers.csv","Qualark_2023_Test_Fishing_and_Sampling_Daily_Summary_with_headers",97,41,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_raw",806,42,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_skip3",803,42,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_with_headers.csv","Qualark_2023_Test_Fishing_and_Sampling_Detailed_Catch_with_headers",803,42,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Pink_Sampling_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Pink_Sampling_raw",481,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Pink_Sampling_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Pink_Sampling_skip3",478,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sampling_CN_Ad_Status_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Sampling_CN_Ad_Status_raw",16,8,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sampling_CN_Ad_Status_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Sampling_CN_Ad_Status_skip3",13,8,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sampling_Pivots_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Sampling_Pivots_raw",91,24,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sampling_Pivots_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Sampling_Pivots_skip3",88,24,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sockeye_Sampling_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Sockeye_Sampling_raw",1158,13,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Sockeye_Sampling_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Sockeye_Sampling_skip3",1155,13,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Steelhead_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Steelhead_raw",5,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Steelhead_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Steelhead_skip3",2,12,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_raw",97,53,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_skip3",94,53,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_with_headers.csv","Qualark_2023_Test_Fishing_and_Sampling_Test_Fishing_Pivots_with_headers",96,53,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_CN_Scales_and_DNA_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_CN_Scales_and_DNA_raw",54,13,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_CN_Scales_and_DNA_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_CN_Scales_and_DNA_skip3",51,13,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_SK_Scales_and_DNA_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_SK_Scales_and_DNA_raw",40,3,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_SK_Scales_and_DNA_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_SK_Scales_and_DNA_skip3",37,3,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_Test_to_Sample_CN_P_xSet_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_Test_to_Sample_CN_P_xSet_raw",706,23,FALSE
"Qualark_2023_Test_Fishing_and_Sampling_Verify_Test_to_Sample_CN_P_xSet_skip3.csv","Qualark_2023_Test_Fishing_and_Sampling_Verify_Test_to_Sample_CN_P_xSet_skip3",703,23,FALSE
